2017-07-26,153.3500,153.9300,153.0600,153.5000,153.5000,12778195.00
2017-07-25,151.8000,153.8400,151.8000,152.7400,152.7400,18714400.00
2017-07-24,150.5800,152.4400,149.9000,152.0900,152.0900,21304700.00
2017-07-21,149.9900,150.4400,148.8800,150.2700,150.2700,26252630.00
2017-07-20,151.5000,151.7400,150.1900,150.3400,150.3400,17243748.00
2017-07-19,150.4800,151.4200,149.9500,151.0200,151.0200,20922969.00
2017-07-18,149.2000,150.1300,148.6700,150.0800,150.0800,17868792.00
2017-07-17,148.8200,150.9000,148.5700,149.5600,149.5600,23243713.00
2017-07-14,147.9700,149.3300,147.3300,149.0400,149.0400,20132061.00
2017-07-13,145.5000,148.4900,145.4400,147.7700,147.7700,25199373.00
2017-07-12,145.8700,146.1800,144.8200,145.7400,145.7400,24884478.00
2017-07-11,144.7300,145.8500,144.3800,145.5300,145.5300,19781836.00
2017-07-10,144.1100,145.9500,143.3700,145.0600,145.0600,21090636.00
2017-07-07,142.9000,144.7500,142.9000,144.1800,144.1800,19201712.00
2017-07-06,143.0200,143.5000,142.4100,142.7300,142.7300,24128782.00
2017-07-05,143.6900,144.7900,142.7200,144.0900,144.0900,21569557.00
